id,planejamento_id,ano,mes,periodo,data,despesas_basicas,despesas_dependentes,despesas_estilo,despesas_viagens,despesas_patrimoniais,financiamento_1,financiamento_2,financiamento_3,financiamento_4,financiamento_5,receita_ativa,receita_passiva,receita_patrimonio,inss,venda_ativos,desembolso_objetivos,despesas_totais,receitas_totais,cs,portfolio_inicial,total_vendas,projetos,saving,renta_dolar,portfolio_final,projetos_brl,projetos_usd,caixa,longevidade,gerado_em,versao
385,2,2055,1,56614,2055-01-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,22944754.78,0,0,-27000,0,22992869.94,0,0,0,0,2025-08-13 11:18:13.002717,1
386,2,2055,2,56645,2055-02-01,23000,0,13000,0,2200,0,0,0,0,0,0,10000,0,0,0,0,38200,10000,0,22992869.94,0,0,-28200,0,23039942.61,0,0,0,0,2025-08-13 11:18:13.240478,1
387,2,2055,3,56673,2055-03-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23039942.61,0,0,-27000,0,23088369.39,0,0,0,0,2025-08-13 11:18:13.420825,1
388,2,2055,4,56704,2055-04-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23088369.39,0,0,-27000,0,23136954.7,0,0,0,0,2025-08-13 11:18:13.581619,1
389,2,2055,5,56734,2055-05-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23136954.7,0,0,-27000,0,23185699.07,0,0,0,0,2025-08-13 11:18:13.740915,1
390,2,2055,6,56765,2055-06-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23185699.07,0,0,-27000,0,23234603.02,0,0,0,0,2025-08-13 11:18:13.913572,1
391,2,2055,7,56795,2055-07-01,23000,0,13000,55426,1000,0,0,0,0,0,0,10000,0,0,0,0,92426,10000,0,23234603.02,0,0,-82426,0,23228241.06,0,0,0,0,2025-08-13 11:18:14.10946,1
392,2,2055,8,56826,2055-08-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23228241.06,0,0,-27000,0,23277284.28,0,0,0,0,2025-08-13 11:18:14.311314,1
393,2,2055,9,56857,2055-09-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23277284.28,0,0,-27000,0,23326488.05,0,0,0,0,2025-08-13 11:18:14.464707,1
394,2,2055,10,56887,2055-10-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23326488.05,0,0,-27000,0,23375852.9,0,0,0,0,2025-08-13 11:18:14.632784,1
395,2,2055,11,56918,2055-11-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23375852.9,0,0,-27000,0,23425379.36,0,0,0,0,2025-08-13 11:18:14.794062,1
396,2,2055,12,56948,2055-12-01,23000,0,13000,55426,1000,0,0,0,0,0,0,10000,0,0,0,0,92426,10000,0,23425379.36,0,0,-82426,0,23419641.96,0,0,0,0,2025-08-13 11:18:14.96323,1
397,2,2056,1,56979,2056-01-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23419641.96,0,0,-27000,0,23469311.77,0,0,0,0,2025-08-13 11:18:15.134761,1
398,2,2056,2,57010,2056-02-01,23000,0,13000,0,2200,0,0,0,0,0,0,10000,0,0,0,0,38200,10000,0,23469311.77,0,0,-28200,0,23517944.19,0,0,0,0,2025-08-13 11:18:15.346464,1
399,2,2056,3,57039,2056-03-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23517944.19,0,0,-27000,0,23567935.82,0,0,0,0,2025-08-13 11:18:15.541589,1
400,2,2056,4,57070,2056-04-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23567935.82,0,0,-27000,0,23618091.11,0,0,0,0,2025-08-13 11:18:15.704729,1
401,2,2056,5,57100,2056-05-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23618091.11,0,0,-27000,0,23668410.6,0,0,0,0,2025-08-13 11:18:15.892708,1
402,2,2056,6,57131,2056-06-01,23000,0,13000,0,1000,0,0,0,0,0,0,10000,0,0,0,0,37000,10000,0,23668410.6,0,0,-27000,0,23718894.81,0,0,0,0,2025-08-13 11:18:16.053635,1
